title,category,venue_name,venue_map_url,price_text,tickets_url,detail_url,description,duration_minutes,price_min,price_max,venue_lat,venue_lng,date,time,language,id,price_currency
Die een wat bly,,,,,https://www.quicket.co.za/events/318669-die-een-wat-bly/?preview=t,https://woordfees.co.za/program/die-een-wat-bly/,,,,,,,,,AFR,die-een-wat-bly,
Die kabinet,,,,,https://www.quicket.co.za/events/320284-die-kabinet/?preview=t,https://woordfees.co.za/program/die-kabinet/,,,,,,,,,AFR,die-kabinet,
Die koning en sy bruid,,,,,https://www.quicket.co.za/events/319435-die-koning-en-sy-bruid/?preview=t,https://woordfees.co.za/program/die-koning-en-sy-bruid/,,,,,,,,,AFR,die-koning-en-sy-bruid,
Die mag van twee,,,,,https://www.quicket.co.za/events/318600-die-mag-van-twee/?preview=t,https://woordfees.co.za/program/die-mag-van-twee/,,,,,,,,,AFR,die-mag-van-twee,
Die môrestond het goud in die mond,,,,,,https://woordfees.co.za/program/die-morestond-het-goud-in-die-mond/,,,,,,,,,AFR,die-môrestond-het-goud-in-die-mond,
Die olifant,,,,,https://www.quicket.co.za/events/318356-die-olifant/,https://woordfees.co.za/program/die-olifant/,,,,,,,,,AFR,die-olifant,
Die piesangskille,,,,,https://www.quicket.co.za/events/318415-die-piesangskille/?preview=t,https://woordfees.co.za/program/die-piesangskille/,,,,,,,,,AFR,die-piesangskille,
Die siel van Eugène Marais,,,,,https://www.quicket.co.za/events/318607-die-siel-van-eugene-marais/?preview=t,https://woordfees.co.za/program/die-siel-van-eugene-marais/,,,,,,,,,AFR,die-siel-van-eugène-marais,
Die spreekkamer / The “Speaking Room”,,,,,https://www.quicket.co.za/events/318565-die-spreekkamer-the-speaking-room/?preview=t,https://woordfees.co.za/program/die-spreekkamer-the-speaking-room/,,,,,,,,,AFR,die-spreekkamer-the-speaking-room,
Die storie van Vivaldi se “Vier Seisoene”,,,,,https://www.quicket.co.za/events/318525-die-storie-van-vivaldi-se-vier-seisoene/?preview=t,https://woordfees.co.za/program/die-storie-van-vivaldi-se-vier-seisoene/,,,,,,,,,AFR,die-storie-van-vivaldi-se-vier-seisoene,
Die veldhospitaal,,,,,https://www.quicket.co.za/events/320489-veldhostpitaal-week-kaartjieveldhostpitaal-dag-kaartjie-veldhostpitaal-halfda/?preview=t,https://woordfees.co.za/program/die-veldhospitaal/,,,,,,,,,AFR,die-veldhospitaal,
Dis Zamar lekker!,,,,,https://www.quicket.co.za/events/318552-dis-zamar-lekker/?preview=t,https://woordfees.co.za/program/dis-zamar-lekker/,,,,,,,,,AFR,dis-zamar-lekker,
Draai na My,,,,,https://www.quicket.co.za/events/319714-dag-van-posie-draai-na-my/?preview=t,https://woordfees.co.za/program/draai-na-my/,,,,,,,,,AFR,draai-na-my,
Drie van die bestes,,,,,https://www.quicket.co.za/events/319654-drie-van-die-bestes?preview=t#/,https://woordfees.co.za/program/drie-van-die-bestes/,,,,,,,,,AFR,drie-van-die-bestes,
Dylan Lewis Beeldetuin: Begeleide toer,,,,,https://www.quicket.co.za/events/320465-dylan-lewis-beeldetuin-begeleide-toer/?preview=t,https://woordfees.co.za/program/dylan-lewis-beeldetuin-begeleide-toer/,,,,,,,,,AFR,dylan-lewis-beeldetuin-begeleide-toer,
Early B & Salome,,,,,https://www.quicket.co.za/events/318510-early-b-salome/?preview=t,https://woordfees.co.za/program/early-b-salome/,,,,,,,,,AFR,early-b-salome,
EasyEquities finansiële gesprekreeks: The Art of Collecting,,,,,https://www.quicket.co.za/events/320527-the-art-of-collecting/#/,https://woordfees.co.za/program/easyequities-finansiele-gesprekreeks-the-art-of-collecting-waarom-jy-kuns-wyn-en-juweliersware-moet-versamel/,,,,,,,,,AFR,easyequities-finansiële-gesprekreeks-the-art-of-collecting,
Echoes of the New World,,,,,https://www.quicket.co.za/events/318602-echoes-of-the-new-world/?preview=t,https://woordfees.co.za/program/echoes-of-the-new-world/,,,,,,,,,AFR,echoes-of-the-new-world,
"Een deel dit, een deel dat",,,,,https://www.quicket.co.za/events/319670-een-deel-dit-ander-deel-dat?preview=t#/,https://woordfees.co.za/program/een-deel-dit-een-deel-dat/,,,,,,,,,AFR,een-deel-dit-een-deel-dat,
Een vir my baby!,,,,,https://www.quicket.co.za/events/319739-een-vir-my-baby?preview=t#/,https://woordfees.co.za/program/een-vir-my-baby/,,,,,,,,,AFR,een-vir-my-baby,
Egúngún (maskerade),,,,,,https://woordfees.co.za/program/egungun-maskerade/,,,,,,,,,AFR,egúngún-maskerade,
